STATION ID,NAME,LATITUDE,LONGITUDE,AVAILABLE_BIKES
1,CLARENDON ROW,53.3409,-6.2625,13.204031713900134
2,BLESSINGTON STREET,53.3568,-6.26814,7.6040029821643635
3,BOLTON STREET,53.3512,-6.26986,10.563629064632678
4,GREEK STREET,53.3469,-6.27298,10.600504673969146
5,CHARLEMONT PLACE,53.3307,-6.26018,19.29500487469175
6,CHRISTCHURCH PLACE,53.3434,-6.27012,8.741985433274072
7,HIGH STREET,53.3436,-6.27507,10.46728221597752
8,CUSTOM HOUSE QUAY,53.3479,-6.24805,9.720422090956014
9,EXCHEQUER STREET,53.343,-6.26358,12.139645581235305
10,DAME STREET,53.344,-6.2668,10.53805127028732
11,EARLSFORT TERRACE,53.3343,-6.2585,7.1304123415725185
12,ECCLES STREET,53.3592,-6.26978,6.096174800711132
13,FITZWILLIAM SQUARE WEST,53.3361,-6.25282,8.560646900269541
14,FOWNES STREET UPPER,53.3446,-6.26337,20.604461661768635
15,HARDWICKE STREET,53.3555,-6.26442,4.107300567758215
16,GEORGES QUAY,53.3475,-6.25219,9.42696564776051
17,GOLDEN LANE,53.3408,-6.26773,7.221540402592189
18,GRANTHAM STREET,53.3341,-6.26544,15.12519355393703
19,HERBERT PLACE,53.3344,-6.24557,10.911854103343465
20,JAMES STREET EAST,53.3366,-6.24811,6.38191632928475
21,LEINSTER STREET SOUTH,53.3422,-6.25449,14.729540631989448
22,TOWNSEND STREET,53.3459,-6.25461,10.810747261570224
23,CUSTOM HOUSE,53.3483,-6.25466,16.436198887423295
24,CATHAL BRUGHA STREET,53.3521,-6.26053,11.596949016459254
25,MERRION SQUARE EAST,53.3394,-6.24655,6.944256466135229
26,MERRION SQUARE WEST,53.3398,-6.25199,9.86413947353329
27,MOLESWORTH STREET,53.3413,-6.25812,8.328439525147674
28,MOUNTJOY SQUARE WEST,53.3563,-6.25859,12.625795721741126
29,ORMOND QUAY UPPER,53.3461,-6.268,17.749440844181912
30,PARNELL SQUARE NORTH,53.3535,-6.26531,4.7342432757928545
31,PARNELL STREET,53.3509,-6.26512,11.533635373057292
32,PEARSE STREET,53.3443,-6.25043,11.87652692550324
33,PRINCES STREET / O'CONNELL STREET,53.349,-6.26031,13.346963353787922
34,PORTOBELLO HARBOUR,53.3304,-6.26516,16.052876068130985
35,SMITHFIELD,53.3477,-6.27821,9.475728155339805
36,ST. STEPHEN'S GREEN EAST,53.3378,-6.25603,15.238343751792167
37,ST. STEPHEN'S GREEN SOUTH,53.3375,-6.26199,10.490393989791823
38,TALBOT STREET,53.351,-6.25294,21.741526638756667
39,WILTON TERRACE,53.3324,-6.25272,5.923037219705225
40,JERVIS STREET,53.3483,-6.26665,11.643516659975914
41,HARCOURT TERRACE,53.3328,-6.25794,5.727189310087744
42,SMITHFIELD NORTH,53.3496,-6.2782,20.78419452887538
43,PORTOBELLO ROAD,53.3301,-6.26804,14.912886391007627
44,UPPER SHERRARD STREET,53.3584,-6.26064,12.452084647588462
45,DEVERELL PLACE,53.3515,-6.25527,17.768194070080863
47,HERBERT STREET,53.3357,-6.24551,7.024144061478466
48,EXCISE WALK,53.3478,-6.24424,10.527785742960372
49,GUILD STREET,53.3479,-6.24093,13.844411309284855
50,GEORGES LANE,53.3502,-6.2797,18.154957848253712
51,YORK STREET WEST,53.3393,-6.2647,15.489591099386363
52,YORK STREET EAST,53.3388,-6.262,13.657051098239377
53,NEWMAN HOUSE,53.3371,-6.26059,11.166886505706257
54,CLONMEL STREET,53.336,-6.26298,11.108447554051729
55,HATCH STREET,53.334,-6.26071,7.83661180248896
56,MOUNT STREET LOWER,53.338,-6.24153,12.441245627114755
57,GRATTAN STREET,53.3396,-6.24378,7.323278086826862
58,SIR PATRICK DUN'S,53.3392,-6.24064,14.047255835292768
59,DENMARK STREET GREAT,53.3556,-6.2614,5.614096461547285
60,NORTH CIRCULAR ROAD,53.3596,-6.26035,15.021391294374032
61,HARDWICKE PLACE,53.357,-6.26323,4.284567299420772
62,LIME STREET,53.346,-6.24358,7.195503813729426
63,FENIAN STREET,53.3414,-6.24672,12.515971784137179
64,SANDWITH STREET,53.3452,-6.24716,11.232895566897975
65,CONVENTION CENTRE,53.3474,-6.23852,6.030051040890061
66,NEW CENTRAL BANK,53.3471,-6.23475,14.463611859838275
67,THE POINT,53.3469,-6.23085,18.657280495498078
68,HANOVER QUAY,53.3441,-6.23715,12.290818374720422
